取得日,店名,機種,容量,状態,買取価格,,,,,,,,,,,,,,,,,,,,,,
2026/04/06,買取一丁目,iPhone 17 Pro Max,256GB,新品,218000,,差益,4月26日,,4月6日,4月7日,4月10日,4月13日,4月16日,4月18日,4月20日,4月21日,4月22日,4月23日,4月24日,4月25日,4月26日,,,,,Apple公式
2026/04/06,買取一丁目,iPhone 17 Pro Max,512GB,新品,246000,,"25,700",iPhone 17 Pro Max,256GB,"218,000","218,000","217,000","215,500","215,500","216,500","217,000","217,500","218,500","219,500","220,500","220,500","220,500",,,,,"194,800"
2026/04/06,買取一丁目,iPhone 17 Pro Max,1TB,新品,273000,,"23,200",iPhone 17 Pro Max,512GB,"246,000","246,000","248,000","248,000","248,000","248,500","248,500","249,000","249,000","252,000","253,000","253,000","253,000",,,,,"229,800"
2026/04/06,買取一丁目,iPhone 17 Pro Max,2TB,新品,305000,,"10,200",iPhone 17 Pro Max,1TB,"273,000","273,000","274,000","274,000","274,500","273,000","273,000","273,000","273,000","274,000","275,000","275,000","275,000",,,,,"264,800"
2026/04/06,買取一丁目,iPhone 17 Pro,256GB,新品,198500,,"-24,800",iPhone 17 Pro Max,2TB,"305,000","305,000","302,000","302,000","302,000","304,000","305,000","305,000","305,000","305,000","305,000","305,000","305,000",,,,,"329,800"
2026/04/06,買取一丁目,iPhone 17 Pro,512GB,新品,223500,,"21,700",iPhone 17 Pro,256GB,"198,500","199,500","199,500","199,500","198,500","198,500","198,500","199,000","199,500","201,000","201,500","201,500","201,500",,,,,"179,800"
2026/04/06,買取一丁目,iPhone 17 Pro,1TB,新品,253000,,"10,700",iPhone 17 Pro,512GB,"223,500","223,500","224,000","224,000","224,000","223,500","223,500","223,500","223,500","225,000","225,500",,"225,500",,,,,"214,800"
2026/04/06,買取一丁目,iPhone 17,256GB,新品,122000,,"4,700",iPhone 17 Pro,1TB,"253,000","253,000","253,000","253,000","253,000","252,500","252,500","252,500","252,500","253,500","254,500",,"254,500",,,,,"249,800"
2026/04/06,買取一丁目,iPhone 17,512GB,新品,150000,,"-129,800",iPhone 17,256GB,"122,000","122,000","121,000","119,000","121,000","121,000","121,000","121,500","121,500","122,500","123,500",,,,,,,"129,800"
2026/04/06,買取一丁目,iPhone 16 Pro Max,256GB,新品,188000,,"-164,800",iPhone 17,512GB,"150,000","150,000","148,000","148,000","148,000","148,000","148,000","148,000","148,000","148,500","149,500",,,,,,,"164,800"
2026/04/06,買取一丁目,iPhone 16 Pro Max,512GB,新品,213500,,,iPhone 16 Pro Max,256GB,"188,000","188,000","188,000","188,000","188,000","188,000","188,000","188,000","188,000","188,000","188,000",,,,,,,
2026/04/06,買取一丁目,iPhone 16 Pro Max,1TB,新品,242500,,,iPhone 16 Pro Max,512GB,"213,500","213,500","213,500","213,500","213,500","213,500","213,500","213,500","213,500","213,500","213,500",,,,,,,
